Question,CorrectAnswer,Option1,Option2,Option3,Reason
What symbol is used to denote an ID selector in CSS syntax?,#,#id,.id,@id,An ID selector in CSS is denoted by the '#' symbol followed by the ID name.
How do you select all <p> elements in CSS syntax?,'p','paragraph','<p>','.p',"To select all <p> elements in CSS syntax, you use the element name 'p'."
What is the correct syntax for applying an external CSS file to an HTML document?,<link rel='stylesheet' href='styles.css'>,<style src='styles.css'>,<css href='styles.css'>,<script type='text/css' src='styles.css'></script>,The correct syntax for applying an external CSS file to an HTML document is '<link rel='stylesheet' href='styles.css'>'.
What CSS property is used to change the color of text?,color,text-color,font-color,text-style,The 'color' property is used to change the color of text in CSS syntax.
How do you select all elements with a class of 'button' in CSS syntax?,'.button','#button','button','button.class',"To select all elements with a class of 'button' in CSS syntax, you use '.button'."
What is the correct way to add a comment in CSS syntax?,/* This is a comment */,// This is a comment //,' This is a comment ',<!-- This is a comment -->,The correct way to add a comment in CSS syntax is '/* This is a comment */'.
What property is used to change the background color of an element in CSS syntax?,background-color,bg-color,color-background,background,The 'background-color' property is used to change the background color of an element in CSS syntax.
How do you select all <a> elements within a <nav> element in CSS syntax?,'nav a','nav > a','nav ~ a','nav + a',"To select all <a> elements within a <nav> element in CSS syntax, you use 'nav a'."
What is the CSS syntax for setting the font size to 16 pixels?,font-size: 16px;,font-size: 16;,size: 16px;,font: 16px;,The CSS syntax for setting the font size to 16 pixels is 'font-size: 16px;'.
How do you select the first child element of a parent in CSS syntax?,':first-child',':first',':first-element',':child(1)',"To select the first child element of a parent in CSS syntax, you use ':first-child'."
What is the property used to specify the font family in CSS syntax?,font-family,family-font,font,text-family,The 'font-family' property is used to specify the font family in CSS syntax.
What CSS property is used to set the text alignment to center?,text-align: center;,align: center;,center-text: true;,text-center: yes;,The CSS property used to set the text alignment to center is 'text-align: center;'.
How do you select all even rows in a table using CSS syntax?,':nth-child(even)',':even',':odd',':nth-child(2n)',"To select all even rows in a table using CSS syntax, you use ':nth-child(even)'."
What CSS property is used to add space between the content and the border of an element?,padding,margin,border-spacing,spacing,The 'padding' property is used to add space between the content and the border of an element in CSS syntax.
How do you select the last child element of a parent in CSS syntax?,':last-child',':last',':final-child',':child(last)',"To select the last child element of a parent in CSS syntax, you use ':last-child'."
What CSS property is used to set the text to be bold?,font-weight,bold-text,text-bold,font-style,The 'font-weight' property is used to set the text to be bold in CSS syntax.
How do you select the first <h1> element in CSS syntax?,'h1:first-of-type','h1:first-child','h1:nth-of-type(1)','h1:nth-child(1)',"To select the first <h1> element in CSS syntax, you use 'h1:first-of-type'."
What is the CSS syntax for setting the text color to red?,color: red;,text-color: red;,font-color: red;,color: #FF0000;,The CSS syntax for setting the text color to red is 'color: red;'.
How do you select all elements with a class of 'highlight' within a <div> element in CSS syntax?,'div .highlight','div > .highlight','div ~ .highlight','div + .highlight',"To select all elements with a class of 'highlight' within a <div> element in CSS syntax, you use 'div .highlight'."
What property is used to set the height of an element in CSS syntax?,height,element-height,size,element-size,The 'height' property is used to set the height of an element in CSS syntax.
How do you select all <li> elements that are descendants of an element with the ID 'menu' in CSS syntax?,#menu li,#menu > li,#menu ~ li,#menu + li,"To select all <li> elements that are descendants of an element with the ID 'menu' in CSS syntax, you use '#menu li'."
What is the CSS syntax for setting the text decoration to underline?,text-decoration: underline;,underline-text: true;,decoration: underline;,text-style: underline;,The CSS syntax for setting the text decoration to underline is 'text-decoration: underline;'.
How do you select the first paragraph within an element with the class 'content' in CSS syntax?,'.content p:first-child','.content > p:first-child','.content p:first-of-type','.content p:nth-child(1)',"To select the first paragraph within an element with the class 'content' in CSS syntax, you use '.content p:first-child'."
What CSS property is used to set the width of an element in CSS syntax?,width,element-width,size,element-size,The 'width' property is used to set the width of an element in CSS syntax.
How do you select all <a> elements with a class of 'external' in CSS syntax?,'a.external','a .external','a > .external','a ~ .external',"To select all <a> elements with a class of 'external' in CSS syntax, you use 'a.external'."
What is the correct CSS syntax for setting the margin on all sides of an element to 10 pixels?,margin: 10px;,margin: 10px 10px 10px 10px;,margin: 10px 0 0 0;,margin: 0 10px 0 0;,The correct CSS syntax for setting the margin on all sides of an element to 10 pixels is 'margin: 10px;'.
How do you select all elements with the attribute 'target' in CSS syntax?,'[target]','target','attribute[target]','element[target]',"To select all elements with the attribute 'target' in CSS syntax, you use '[target]'."
What property is used to set the font style to italic in CSS syntax?,font-style: italic;,italic: true;,style: italic;,text-style: italic;,The 'font-style' property is used to set the font style to italic in CSS syntax.
How do you select all elements with the class 'active' and the class 'highlight' in CSS syntax?,'.active.highlight',"'.active, .highlight'",'.active > .highlight','.active ~ .highlight',"To select all elements with the class 'active' and the class 'highlight' in CSS syntax, you use '.active.highlight'."
What is the CSS syntax for setting the border color to blue?,border-color: blue;,color: blue;,border: blue;,border: 1px solid blue;,The CSS syntax for setting the border color to blue is 'border-color: blue;'.
How do you select all <input> elements with the 'type' attribute set to 'text' in CSS syntax?,'input[type='text']','input[type=text]','input[type='text']','input[text]',"To select all <input> elements with the 'type' attribute set to 'text' in CSS syntax, you use 'input[type='text']'."
